Date,Open,High,Low,Close,Difference,Shares Traded,Turnover (Rs. Cr),EHL,VHL,HL,N,HP,VHP,EHP,Status
01-Jan-08,6136.75,6165.35,6109.85,6144.35,-7.6,81305366,4410.97,0,0,0,1,0,0,0,3
02-Jan-08,6144.7,6197,6060.85,6179.4,-34.7,110353305,7184.35,0,0,1,0,0,0,0,2
03-Jan-08,6184.25,6230.15,6126.4,6178.55,5.7,156427760,9475.37,0,0,0,1,0,0,0,3
04-Jan-08,6179.1,6300.05,6179.1,6274.3,-95.2,147642063,8779.23,0,1,0,0,0,0,0,1
07-Jan-08,6271,6289.8,6193.35,6279.1,-8.1,139778977,8873.37,0,0,0,1,0,0,0,3
08-Jan-08,6282.45,6357.1,6221.6,6287.85,-5.4,162564130,10574.25,0,0,0,1,0,0,0,3
09-Jan-08,6287.55,6338.3,6231.25,6272,15.55,120853354,8104.77,0,0,0,0,1,0,0,4
10-Jan-08,6278.1,6347,6142.9,6156.95,121.15,133662127,9321.29,0,0,0,0,0,1,0,5
11-Jan-08,6166.65,6224.2,6112.55,6200.1,-33.45,125140494,8457.94,0,0,1,0,0,0,0,2
14-Jan-08,6208.8,6244.15,6172,6206.8,2,111015627,7764.65,0,0,0,1,0,0,0,3
15-Jan-08,6226.35,6260.45,6053.3,6074.25,152.1,117677698,8500.09,0,0,0,0,0,1,0,5
16-Jan-08,6065,6065,5825.75,5935.75,129.25,152499954,10674.88,0,0,0,0,0,1,0,5
17-Jan-08,5937.95,6013.15,5880.3,5913.2,24.75,127181643,9479.64,0,0,0,0,1,0,0,4
18-Jan-08,5907.75,5908.75,5677,5705.3,202.45,135839094,9533.05,0,0,0,0,0,1,0,5
21-Jan-08,5705,5705,4977.1,5208.8,496.2,211347217,12589.09,0,0,0,0,0,0,1,6
22-Jan-08,5203.35,5203.35,4448.5,4899.3,304.05,200603284,11565.41,0,0,0,0,0,0,1,6
23-Jan-08,4903.05,5328.05,4891.6,5203.4,-300.35,172729968,10029.3,0,1,0,0,0,0,0,1
24-Jan-08,5208,5357.2,4995.8,5033.45,174.55,145355769,8302.42,0,0,0,0,0,1,0,5
25-Jan-08,5035.05,5399.25,5035.05,5383.35,-348.3,105876191,6228.84,0,1,0,0,0,0,0,1
28-Jan-08,5380.95,5380.95,5071,5274.1,106.85,94557347,5326.69,0,0,0,0,0,1,0,5
29-Jan-08,5279.55,5391.6,5225.25,5280.8,-1.25,99068477,5553.19,0,0,0,1,0,0,0,3
30-Jan-08,5283.75,5314.3,5142.25,5167.6,116.15,101260486,5331.89,0,0,0,0,0,1,0,5
31-Jan-08,5172.25,5251.65,5071.15,5137.45,34.8,187588589,10245.43,0,0,0,0,1,0,0,4
01-Feb-08,5140.6,5339.95,5090.75,5317.25,-176.65,106716699,5965.82,0,1,0,0,0,0,0,1
04-Feb-08,5315.55,5545.2,5315.55,5463.5,-147.95,105796179,6278.69,0,1,0,0,0,0,0,1
05-Feb-08,5463.75,5500.6,5412.95,5483.9,-20.15,96724766,5252.39,0,0,1,0,0,0,0,2
06-Feb-08,5470.4,5470.4,5257.05,5322.55,147.85,106220956,5705.13,0,0,0,0,0,1,0,5
07-Feb-08,5322.55,5344.6,5113.85,5133.25,189.3,103085491,5687.6,0,0,0,0,0,1,0,5
08-Feb-08,5132.1,5173.85,5034.25,5120.35,11.75,108947080,5960.29,0,0,0,1,0,0,0,3
11-Feb-08,5120.55,5126.4,4803.6,4857,263.55,125724868,7432.64,0,0,0,0,0,1,0,5
12-Feb-08,4877.85,4949.6,4820.45,4838.25,39.6,102374113,5729.12,0,0,0,0,1,0,0,4
13-Feb-08,4836.55,4986.55,4836.55,4929.45,-92.9,104398927,5733.55,0,1,0,0,0,0,0,1
14-Feb-08,4944.65,5220.25,4944.65,5202,-257.35,106458411,5936.21,0,1,0,0,0,0,0,1
15-Feb-08,5202.85,5315.4,5104.75,5302.9,-100.05,110683112,5767.48,0,1,0,0,0,0,0,1
18-Feb-08,5304.45,5348.6,5224,5276.9,27.55,77582930,3748.76,0,0,0,0,1,0,0,4
19-Feb-08,5278.4,5368.45,5262,5280.8,-2.4,88665218,4374.02,0,0,0,1,0,0,0,3
20-Feb-08,5267.15,5267.15,5116.3,5154.45,112.7,89916733,4898.31,0,0,0,0,0,1,0,5
21-Feb-08,5156.9,5241.35,5120.05,5191.8,-34.9,89877229,4795.54,0,0,1,0,0,0,0,2
22-Feb-08,5183.4,5184,5092.8,5110.75,72.65,72385283,4125.66,0,0,0,0,0,1,0,5
25-Feb-08,5112.25,5212.35,5055.15,5200.7,-88.45,78356314,4631.11,0,1,0,0,0,0,0,1
26-Feb-08,5200.8,5281.2,5200.8,5270.05,-69.25,86295954,4653.65,0,1,0,0,0,0,0,1
27-Feb-08,5271.4,5368.15,5249.75,5268.4,3,91216141,5613.2,0,0,0,1,0,0,0,3
28-Feb-08,5266.35,5302.85,5227.15,5285.1,-18.75,108030320,6665.94,0,0,1,0,0,0,0,2
29-Feb-08,5285,5290.8,5098.35,5223.5,61.5,165090052,7905.14,0,0,0,0,0,1,0,5
03-Mar-08,5222.8,5222.8,4936.05,4953,269.8,150762989,6900.77,0,0,0,0,0,1,0,5
04-Mar-08,4958.55,4976.7,4812.95,4864.25,94.3,150910718,7276.89,0,0,0,0,0,1,0,5
05-Mar-08,4866.85,4936.75,4847.25,4921.4,-54.55,114859430,6165.03,0,1,0,0,0,0,0,1
07-Mar-08,4918.3,4918.3,4672.25,4771.6,146.7,146225530,7877.89,0,0,0,0,0,1,0,5
10-Mar-08,4767.8,4814.95,4620.5,4800.4,-32.6,155966648,8766.45,0,0,1,0,0,0,0,2
11-Mar-08,4796.3,4888.5,4732.85,4865.9,-69.6,158842196,7933.31,0,1,0,0,0,0,0,1
12-Mar-08,4869.75,5019.2,4854.75,4872,-2.25,135721301,6913.21,0,0,0,1,0,0,0,3
13-Mar-08,4868.7,4868.8,4580.15,4623.6,245.1,137742263,6511.45,0,0,0,0,0,1,0,5
14-Mar-08,4623.8,4758.95,4607.55,4745.8,-122,177665094,7383.88,0,1,0,0,0,0,0,1
17-Mar-08,4745.45,4745.45,4482.1,4503.1,242.35,143351899,6449.89,0,0,0,0,0,1,0,5
18-Mar-08,4519.9,4617.95,4468.55,4533,-13.1,170020881,7987.6,0,0,0,1,0,0,0,3
19-Mar-08,4534.75,4718.4,4533.9,4573.95,-39.2,164033720,7557.89,0,0,1,0,0,0,0,2
24-Mar-08,4576.8,4649.45,4539.8,4609.85,-33.05,123982175,5900.93,0,0,1,0,0,0,0,2
25-Mar-08,4616.8,4896.8,4616.8,4877.5,-260.7,145601277,7290.22,0,1,0,0,0,0,0,1
26-Mar-08,4878.7,4912.3,4808.65,4828.85,49.85,126360231,5814.75,0,0,0,0,0,1,0,5
27-Mar-08,4828.8,4863.75,4769.6,4830.25,-1.45,180115315,8403.74,0,0,0,1,0,0,0,3
28-Mar-08,4830,4970.8,4796.35,4942,-112,164141244,7487.22,0,1,0,0,0,0,0,1
31-Mar-08,4942.15,4947,4703.85,4734.5,207.65,150089100,7410.8,0,0,0,0,0,1,0,5
01-Apr-08,4735.65,4800.75,4628.75,4739.55,-3.9,119878713,5875.1,0,0,0,1,0,0,0,3
02-Apr-08,4741.4,4916.75,4741.4,4754.2,-12.8,115678126,5708.19,0,0,0,1,0,0,0,3
03-Apr-08,4753.9,4833.25,4738.2,4771.6,-17.7,130583246,6636.39,0,0,1,0,0,0,0,2
04-Apr-08,4766.7,4791.7,4632.7,4647,119.7,132143809,6626.62,0,0,0,0,0,1,0,5
07-Apr-08,4631.35,4798.55,4628.8,4761.2,-129.85,124925089,6404.59,0,1,0,0,0,0,0,1
08-Apr-08,4760.65,4769.55,4677.8,4709.65,51,113783563,6300.38,0,0,0,0,0,1,0,5
09-Apr-08,4707.05,4758.25,4667.5,4747.05,-40,101430145,5071.07,0,1,0,0,0,0,0,1
10-Apr-08,4747.55,4799.5,4720.9,4733,14.55,150146637,6919.6,0,0,0,0,1,0,0,4
11-Apr-08,4734.35,4817.4,4727.25,4777.8,-43.45,132775090,6512.54,0,1,0,0,0,0,0,1
15-Apr-08,4779.95,4917.1,4708.3,4879.65,-99.7,152133622,7483.14,0,1,0,0,0,0,0,1
16-Apr-08,4881.65,4951.4,4874.05,4887.3,-5.65,137348930,6695.34,0,0,0,1,0,0,0,3
17-Apr-08,4890.6,4984.95,4889.65,4958.4,-67.8,135283525,6587.14,0,1,0,0,0,0,0,1
21-Apr-08,4955.9,5053.4,4955.9,5037,-81.1,110601430,5715.21,0,1,0,0,0,0,0,1
22-Apr-08,5037.05,5074.25,4994.05,5049.3,-12.25,126837163,6268.68,0,0,0,1,0,0,0,3
23-Apr-08,5044.35,5083.5,5003.55,5022.8,21.55,146161834,6682.3,0,0,0,0,1,0,0,4
24-Apr-08,5022.9,5072.7,4991.35,4999.85,23.05,154288468,7492.21,0,0,0,0,1,0,0,4
25-Apr-08,4999.15,5117.7,4999.15,5111.7,-112.55,134465254,7109,0,1,0,0,0,0,0,1
28-Apr-08,5112.5,5147.45,5079.15,5089.65,22.85,110778893,6011.78,0,0,0,0,1,0,0,4
29-Apr-08,5092.4,5210.9,5082.15,5195.5,-103.1,215000545,9256.51,0,1,0,0,0,0,0,1
30-Apr-08,5198.35,5230.75,5155.85,5165.9,32.45,146277434,7570.08,0,0,0,0,1,0,0,4
02-May-08,5265.3,5298.85,5197.6,5228.2,37.1,131260266,7116.13,0,0,0,0,1,0,0,4
05-May-08,5227.25,5254.5,5182.6,5192.25,35,125641202,6433.55,0,0,0,0,1,0,0,4
06-May-08,5192.35,5206.5,5110.9,5144.65,47.7,131800270,6918.37,0,0,0,0,0,1,0,5
07-May-08,5156.7,5159.05,5101.25,5135.5,21.2,153438748,7619.1,0,0,0,0,1,0,0,4
08-May-08,5135.8,5143.05,5062.45,5081.7,54.1,127167885,6306.27,0,0,0,0,0,1,0,5
09-May-08,5070.85,5087.65,4969.4,4982.6,88.25,142385969,6875.81,0,0,0,0,0,1,0,5
12-May-08,4981,5021.75,4913.8,5012.65,-31.65,151227287,6655.44,0,0,1,0,0,0,0,2
13-May-08,5008.6,5066,4943.75,4957.8,50.8,158521953,7243.14,0,0,0,0,0,1,0,5
14-May-08,4958.45,5026.1,4932.05,5011.75,-53.3,147937974,6731.3,0,1,0,0,0,0,0,1
15-May-08,5010.9,5118.55,4999.6,5115.25,-104.35,150871774,7840.38,0,1,0,0,0,0,0,1
16-May-08,5115.65,5167.4,5106.4,5157.7,-42.05,152622286,6775.73,0,1,0,0,0,0,0,1
20-May-08,5157,5160.05,5072.4,5104.95,52.05,158813241,7032.91,0,0,0,0,0,1,0,5
21-May-08,5105.7,5135.55,5048.7,5117.65,-11.95,163032543,7158.77,0,0,0,1,0,0,0,3
22-May-08,5117,5118.9,5010.7,5025.45,91.55,113544128,5693.06,0,0,0,0,0,1,0,5
23-May-08,5026.55,5059.05,4940.7,4946.55,80,152368191,6593.45,0,0,0,0,0,1,0,5
26-May-08,4953.6,4953.6,4858,4875.05,78.55,124506200,6098.96,0,0,0,0,0,1,0,5
27-May-08,4877.15,4932,4846.2,4859.8,17.35,120401073,5571.07,0,0,0,0,1,0,0,4
28-May-08,4862.7,4926.9,4835.65,4918.35,-55.65,140737265,6892.13,0,1,0,0,0,0,0,1
